Nature,count
111,6018
1311,5833
1972,2129
132,1023
10,951
160,504
1971,435
1520,400
133,361
194,326
1839,265
1720,202
1729,198
1530,179
143,173
1522,165
193,156
1510,144
1960,132
162,129
